10/12/2013 3:27:47 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 4:30:07 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 4:32:59 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 4:33:15 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 4:35:21 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 9:12:42 PM | (IMPORTANT) | Default | The IP address of this computer has changed!! Take note of the new IP (erase your bookmark and add): 10.0.0.10
10/12/2013 9:12:42 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 9:13:55 PM | (NORMAL, IMPORTANT) | Default | The server has been killed.
10/12/2013 9:13:55 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 9:16:40 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 9:59:12 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:00:03 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:00:32 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:01:00 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:01:55 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:02:22 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:02:22 PM | (IMPORTANT) | Default | The server could not be started. The port: 80 may be in use by another program. You can choose a different port in the settings.
10/12/2013 10:03:23 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:07:26 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:07:49 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:08:14 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/12/2013 10:08:42 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 12:14:14 AM | (IMPORTANT) | Default | The IP address of this computer has changed!! Take note of the new IP (erase your bookmark and add): 10.0.0.20
10/13/2013 12:14:14 AM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 12:28:34 AM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 12:29:02 AM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 12:31:27 AM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 12:36:57 AM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 1:31:00 AM | (IMPORTANT) | Default | The IP address of this computer has changed!! Take note of the new IP (erase your bookmark and add): 192.168.1.131
10/13/2013 1:31:00 AM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 4:00:05 AM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 1:57:51 PM | (IMPORTANT) | Default | The IP address of this computer has changed!! Take note of the new IP (erase your bookmark and add): 10.0.0.10
10/13/2013 1:57:51 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 2:17:45 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 2:27:36 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 2:28:39 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 5:30:31 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
10/13/2013 5:32:40 PM | (NORMAL, IMPORTANT) | Default | The server has been started.
